time,u_ctrl_1,y_meas_1,y_meas_2,dE,runtime
0.0,0.2983479357242884,-0.016520642757115653,-7.173117601093123e-05,0.025023064971697796,0.0
0.0004,-0.4514037495294579,-7.514037495294578,-1.334876366323846e-05,0.006710082958769365,6.252887964248657
0.0008,-0.42138515049445086,-7.213851504944508,-3.0803856323650115e-05,0.006701646298497021,6.402367830276489
0.0012000000000000001,-0.39329661446561565,-6.932966144656156,-6.645473403760065e-05,0.006693130873425475,0.48046064376831055
0.0016,-0.3672728912530297,-6.672728912530297,-0.00010577351858805977,0.0066846584493813095,0.46767282485961914
0.002,-0.34320173599009557,-6.432017359900955,-0.00014355378774549187,0.006676264510196095,0.7198243141174316
0.0024000000000000002,-0.320908461790333,-6.209084617903329,-0.00017792104394091554,0.006667956072998612,0.47725653648376465
0.0028,-0.3002147527115098,-6.002147527115097,-0.00020832302920285368,0.006659731365395737,0.5213143825531006
0.0032,-0.28095592513756046,-5.809559251375604,-0.00023482330044249738,0.006651586321735917,0.4443631172180176
0.0036000000000000003,-0.26298469953564013,-5.629846995356401,-0.0002578145112393674,0.006643516640313737,2.383683681488037
0.004,0.0,-5.461707715039499,-0.00027786540084899985,0.006635518372076721,0.5539114475250244
