time,u_ctrl_1,u_ctrl_2,y_meas_1,y_meas_2,y_meas_3,dE,runtime
0.05,1.7410097533830304,1.7410097533830304,0.13235328712005467,0.010904312784039794,0.010902069531881078,0.10891697812615554,0.0
0.055,1.8362235594486287,1.8362235594486287,0.13219184913845256,0.010715658305319425,0.010718112441833124,0.11070317152452067,1.5342371463775635
0.060000000000000005,1.921105953718678,1.921105953718678,0.13205635720694398,0.010545966732726397,0.010553849023344202,0.11242284034106818,0.23383760452270508
0.065,1.9964440308194202,1.9964440308194202,0.13194482988880035,0.010394000746376328,0.010407997073513815,0.11405985011407616,0.3936729431152344
0.07,2.0629695109877835,2.0629695109877835,0.13185542249758625,0.010258601060179087,0.010279347213611855,0.11560264778054136,0.20864009857177734
0.07500000000000001,2.1213625285913706,2.1213625285913706,0.13178641854053594,0.01013868097546465,0.010166760385552795,0.1170433892653511,0.15687775611877441
0.08,2.172255165448411,2.172255165448411,0.13173622149266614,0.0100332215333949,0.010069165422884475,0.11837721437671177,0.1561446189880371
0.085,2.216234745586356,2.216234745586356,0.13170334696842825,0.009941267225972217,0.009985556683657233,0.11960164658649886,0.15595054626464844
0.09,2.253846907171365,2.253846907171365,0.13168641531476627,0.009861922206206322,0.009914991716054762,0.12071609791718553,0.14255499839782715
0.095,2.2855984664059026,2.2855984664059026,0.13168414462658098,0.009794346926069925,0.009856588930878724,0.1217214620498484,0.1425769329071045
0.1,0.0,0.0,0.13169534417524564,0.009737755128831955,0.009809525263919325,0.12261978126312044,0.12223243713378906
